Feature ID	Taxon	Confidence
ef0ed5c438a1e58ebfd6cce4af98c128	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariaceae;g__Auricularia;s__Auricularia_sp	0.997797844768708
5427882f4941e503d9a0e61a627600ff	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales;f__Pestalotiopsidaceae;g__Neopestalotiopsis;s__Neopestalotiopsis_foedans	0.9576510371411511
d00409daa8050f0d4c9880ffdab2d2c5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellales_fam_Incertae_sedis;g__Cantharellales_gen_Incertae_sedis;s__Cantharellales_sp	0.767012724573356
ad97a0570f3d07262b1b4e5d7f591162	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia	0.7420959790602827
fd7739f4cf15a151eed30d4d181f04b9	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Geotrichum;s__Geotrichum_candidum	0.735105357448579
404e848bb48dd260e9b1def5f75f674e	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_maotaiensis	0.9999994585056032
680c3969247e33a1b74094559544a03e	k__Fungi;p__Ascomycota;c__Sordariomycetes	0.9575479384619615
e8d4ea2e49dcdf752257b5a7a8687156	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Rickenellaceae;g__Rickenella;s__Rickenella_fibula	0.8580045815638625
aa4dd620e4db683d71ca798c67b6214d	k__Fungi;p__Ascomycota;c__Dothideomycetes	0.7339972216477191
1c919a9dde736c2bcf46df49770be4ea	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__Ascotricha;s__Ascotricha_sp	0.9685067761754221
cbbef12dd0dacb065e76dc5d5d97910f	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Castanediellaceae;g__Castanediella;s__Castanediella_ambae	0.9167354984009916
039a0b46307a5e3eaa222eaa54b31a01	k__Fungi	1.0000000000000158
9a1ffd722a06f71190cf71b4f9c68355	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellales_fam_Incertae_sedis;g__Cantharellales_gen_Incertae_sedis;s__Cantharellales_sp	0.7279447880198393
4bd28efecca7e3edeb5c9b377837264d	k__Fungi	1.0000000000000122
aa44cda21ee54da9b740fb2c954317bd	k__Fungi	1.0000000000000027
4550a15b8d7cede412bc7410891bf31a	k__Fungi	1.0000000000000104
9eef75393db27e7873c5c71fdf917d4d	k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetales_fam_Incertae_sedis;g__Archaeorhizomycetales_gen_Incertae_sedis;s__Archaeorhizomycetales_sp	0.8096540367734245
1dda349c2335ca059da062b20aaef6e7	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Verticillium;s__Verticillium_albo-atrum	0.7552649502014024
20ee7f8b0a644046e1b292c9ec7526a4	k__Fungi;p__Ascomycota	0.9987560247909666
5e9d7c4488bb7f35ee3edae9f11def46	k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales	0.8350757494183847
a2496f8d34cc1246bf5f245fe862c3dc	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gliocladiopsis;s__Gliocladiopsis_elghollii	0.9766282112914171
4c5d418986d543e169d314498e3fda83	k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_sp	0.7102825198891897
f1197f1c3a962a433ae34ff4608252e5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariaceae;g__Auricularia;s__Auricularia_sp	0.9990296135962788
753407d2be7add52a2c2aa3168b700d1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	0.999879135190596
cf5058fdd93b34ff7a9ae24c4b2c5d66	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Mycenaceae_gen_Incertae_sedis;s__Mycenaceae_sp	0.8976366836663483
a39ba8b94eacb850e45f52b3b063a462	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_aeria	0.9988739441970113
