SampleID	Group	Type	Treatment	Treatment_fine	TP	Type_fine
DH_CT3_OS_2	CT3	Soil	CT	CT	TP3	OS
DH_CT3_OS_3	CT3	Soil	CT	CT	TP3	OS
DH_CT3_S_1	CT3	Soil	CT	CT	TP3	S
DH_CT3_S_2	CT3	Soil	CT	CT	TP3	S
DH_CT3_S_3	CT3	Soil	CT	CT	TP3	S
DH_CT5_OS_1	CT5	Soil	CT	CT	TP5	OS
DH_CT5_OS_2	CT5	Soil	CT	CT	TP5	OS
DH_CT5_OS_3	CT5	Soil	CT	CT	TP5	OS
DH_CT5_S_1	CT5	Soil	CT	CT	TP5	S
DH_CT5_S_2	CT5	Soil	CT	CT	TP5	S
DH_CT5_S_3	CT5	Soil	CT	CT	TP5	S
DH_CT7_OS_1	CT7	Soil	CT	CT	TP7	OS
DH_CT7_OS_2	CT7	Soil	CT	CT	TP7	OS
DH_CT7_OS_3	CT7	Soil	CT	CT	TP7	OS
DH_CT7_S_1	CT7	Soil	CT	CT	TP7	S
DH_CT7_S_2	CT7	Soil	CT	CT	TP7	S
DH_CT7_S_3	CT7	Soil	CT	CT	TP7	S
DH_DT1_OS_1	DT1	Soil	DT	DT	TP1	OS
DH_DT1_OS_2	DT1	Soil	DT	DT	TP1	OS
DH_DT1_OS_3	DT1	Soil	DT	DT	TP1	OS
DH_DT1_S_1	DT1	Soil	DT	DT	TP1	S
DH_DT1_S_2	DT1	Soil	DT	DT	TP1	S
DH_DT1_S_3	DT1	Soil	DT	DT	TP1	S
DH_DT3_OS_1	DT3	Soil	DT	DT	TP3	OS
DH_DT3_OS_2	DT3	Soil	DT	DT	TP3	OS
DH_DT3_OS_3	DT3	Soil	DT	DT	TP3	OS
DH_DT3_S_1	DT3	Soil	DT	DT	TP3	S
DH_DT3_S_2	DT3	Soil	DT	DT	TP3	S
DH_DT3_S_3	DT3	Soil	DT	DT	TP3	S
DH_DT5_OS_1	DT5	Soil	DT	DT	TP5	OS
DH_DT5_OS_2	DT5	Soil	DT	DT	TP5	OS
DH_DT5_OS_3	DT5	Soil	DT	DT	TP5	OS
DH_DT5_S_1	DT5	Soil	DT	DT	TP5	S
DH_DT5_S_2	DT5	Soil	DT	DT	TP5	S
DH_DT5_S_3	DT5	Soil	DT	DT	TP5	S
DH_DT7_OS_1	DT7	Soil	DT	DT	TP7	OS
DH_DT7_OS_2	DT7	Soil	DT	DT	TP7	OS
DH_DT7_OS_3	DT7	Soil	DT	DT	TP7	OS
DH_DT7_S_1	DT7	Soil	DT	DT	TP7	S
DH_DT7_S_2	DT7	Soil	DT	DT	TP7	S
DH_DT7_S_3	DT7	Soil	DT	DT	TP7	S
DH_CT7_4	CT7	Moss	CT	CT	TP7	Moss
DH_DT1_4	DT1	Moss	DT	DT_S	TP1	Moss
DH_DT2_4	DT2	Moss	DT	DT_R	TP2	Moss
DH_DT3_4	DT3	Moss	DT	DT_S	TP3	Moss
DH_DT4_4	DT4	Moss	DT	DT_R	TP4	Moss
DH_DT6_4	DT6	Moss	DT	DT_R	TP6	Moss
DH_DT7_4	DT7	Moss	DT	DT_S	TP7	Moss
DH_DT8_4	DT8	Moss	DT	DT_R	TP8	Moss
TP0_4	CT1	Moss	CT	CT	TP0	Moss
